,Unnamed: 0,verbs,bigram_all_cases,preposition_data,bigrams_all_cases_CAT,preposition data,bigrams_all_cases_CAT_negation
1766,1766,вывешивать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",{'по': 1},"{'gen': 0, 'acc': 2, 'ins': 0, 'dat': 0}","{'в': 2, 'на': 4, 'для': 1}","{'gen': 0, 'acc': 2, 'ins': 0, 'dat': 0}"
1767,1767,поручать,"{'gen': 1, 'dat': 2, 'acc': 3, 'ins': 0, 'loc': 0}","{'экскурсоводам': 1, 'изготовление': 1, 'техническое': 1, 'эту': 1, 'этого': 1, 'ему': 1}","{'gen': 3, 'acc': 9, 'ins': 0, 'dat': 12}",{'за': 1},"{'gen': 3, 'acc': 9, 'ins': 0, 'dat': 12}"
1768,1768,преломляться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}","{'при': 1, 'в': 7, 'через': 7, 'под': 1, 'после': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
1769,1769,заведовать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 2, 'loc': 0}","{'деповским': 1, 'ядерной': 1, 'где-нибудь': 1}","{'gen': 0, 'acc': 1, 'ins': 15, 'dat': 0}","{'в': 4, 'с': 1, 'до': 1}","{'gen': 0, 'acc': 1, 'ins': 15, 'dat': 0}"
1770,1770,эмитировать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 2, 'acc': 7, 'ins': 11, 'dat': 0}","{'в': 1, 'на': 1}","{'gen': 2, 'acc': 7, 'ins': 11, 'dat': 0}"
1771,1771,доноситься,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}","{'с': 1, 'из-за': 1, 'в': 1, 'при': 1, 'из': 1, 'до': 2}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
1772,1772,бродить,"{'gen': 0, 'dat': 1, 'acc': 0, 'ins': 1, 'loc': 0}","{'по': 15, 'с': 2}","{'gen': 1, 'acc': 0, 'ins': 0, 'dat': 0}","{'в': 3, 'на': 1, 'по': 4}","{'gen': 1, 'acc': 0, 'ins': 0, 'dat': 0}"
1773,1773,произведивать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 6, 'ins': 2, 'dat': 0}","{'за': 1, 'в': 4, 'для': 1}","{'gen': 0, 'acc': 6, 'ins': 2, 'dat': 0}"
1774,1774,довольствоваться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 12, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 41, 'dat': 0}",{'в': 2},"{'gen': 0, 'acc': 0, 'ins': 41, 'dat': 0}"
1775,1775,рыбоперерабатывать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 8, 'acc': 1, 'ins': 1, 'dat': 0}",{},"{'gen': 8, 'acc': 1, 'ins': 1, 'dat': 0}"
1776,1776,взирать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'на': 6, 'станем': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}",{'на': 8},"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
1777,1777,отпадать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 3, 'ins': 2, 'dat': 0}",{'ввиду': 1},"{'gen': 0, 'acc': 3, 'ins': 2, 'dat': 0}"
1778,1778,угнетать,"{'gen': 0, 'dat': 0, 'acc': 2, 'ins': 1, 'loc': 0}","{'рабством': 1, 'человека': 1, 'его': 1}","{'gen': 6, 'acc': 7, 'ins': 1, 'dat': 1}",{},"{'gen': 6, 'acc': 7, 'ins': 1, 'dat': 1}"
1779,1779,сказывать,"{'gen': 2, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'урока': 1, 'дня': 1, 'где': 1, 'а': 1, 'не': 1}","{'gen': 0, 'acc': 2, 'ins': 0, 'dat': 0}","{'в': 1, 'о': 1}","{'gen': 0, 'acc': 2, 'ins': 0, 'dat': 0}"
1780,1780,усваиваться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 8, 'dat': 1}","{'при': 1, 'на': 1, 'подобно': 1, 'в': 4, 'посредством': 1}","{'gen': 0, 'acc': 0, 'ins': 8, 'dat': 1}"
1781,1781,назреть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 13, 'acc': 21, 'ins': 3, 'dat': 0}","{'в': 1, 'к': 1}","{'gen': 13, 'acc': 21, 'ins': 3, 'dat': 0}"
1782,1782,отрабатывать,"{'gen': 0, 'dat': 0, 'acc': 7, 'ins': 0, 'loc': 0}","{'вложенные': 1, 'версию': 1, 'технику': 1, 'дыхание': 1, 'отчего': 1, 'какие-то': 1, 'всех': 1, 'эти': 1, 'на': 1}","{'gen': 0, 'acc': 10, 'ins': 0, 'dat': 0}","{'на': 1, 'в': 1}","{'gen': 0, 'acc': 10, 'ins': 0, 'dat': 0}"
1783,1783,догонять,"{'gen': 0, 'dat': 0, 'acc': 7, 'ins': 0, 'loc': 0}",,"{'gen': 30, 'acc': 11, 'ins': 3, 'dat': 0}","{'по': 1, 'относительно': 3}","{'gen': 30, 'acc': 11, 'ins': 3, 'dat': 0}"
1784,1784,структурировать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 12, 'acc': 59, 'ins': 8, 'dat': 0}","{'на': 3, 'в': 10, 'посредством': 1, 'по': 1, 'через': 1, 'для': 2}","{'gen': 12, 'acc': 59, 'ins': 8, 'dat': 0}"
1785,1785,подстроить,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 3, 'ins': 1, 'dat': 0}",{'под': 5},"{'gen': 0, 'acc': 3, 'ins': 1, 'dat': 0}"
1786,1786,приумножать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 9, 'ins': 0, 'dat': 0}",{'в': 1},"{'gen': 0, 'acc': 9, 'ins': 0, 'dat': 0}"
1787,1787,демонстрировать,"{'gen': 0, 'dat': 1, 'acc': 10, 'ins': 0, 'loc': 0}",,"{'gen': 39, 'acc': 1411, 'ins': 29, 'dat': 66}","{'в': 58, 'на': 48, 'путем': 1, 'по': 5, 'при': 7, 'за': 2, 'через': 3, 'с': 2, 'между': 1, 'прежде': 1}","{'gen': 13, 'acc': 1411, 'ins': 29, 'dat': 66}"
1788,1788,таить,"{'gen': 1, 'dat': 0, 'acc': 2, 'ins': 0, 'loc': 0}",{'в': 2},"{'gen': 1, 'acc': 1, 'ins': 0, 'dat': 0}",{'в': 21},"{'gen': 0, 'acc': 1, 'ins': 0, 'dat': 0}"
1789,1789,отображать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 6, 'acc': 59, 'ins': 3, 'dat': 0}","{'в': 18, 'на': 3, 'с': 2, 'при': 1, 'для': 1}","{'gen': 3, 'acc': 59, 'ins': 3, 'dat': 0}"
1790,1790,побежать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'за': 2, 'или': 1, 'так': 1, 'а': 1, 'на': 1}","{'gen': 1, 'acc': 1, 'ins': 4, 'dat': 0}","{'в': 5, 'с': 1, 'от': 1, 'за': 1, 'между': 1, 'по': 2, 'к': 1}","{'gen': 1, 'acc': 1, 'ins': 4, 'dat': 0}"
1791,1791,согласуться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 4, 'acc': 1, 'ins': 0, 'dat': 0}","{'с': 20, 'по': 3}","{'gen': 4, 'acc': 1, 'ins': 0, 'dat': 0}"
1792,1792,повзрослеть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",{'и': 1},"{'gen': 1, 'acc': 0, 'ins': 0, 'dat': 0}",{'в': 1},"{'gen': 1, 'acc': 0, 'ins': 0, 'dat': 0}"
1793,1793,вызревать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 5, 'ins': 2, 'dat': 0}","{'в': 3, 'у': 1}","{'gen': 0, 'acc': 5, 'ins': 2, 'dat': 0}"
1794,1794,по-P-ть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 2, 'ins': 1, 'dat': 0}",{'о': 1},"{'gen': 0, 'acc': 2, 'ins': 1, 'dat': 0}"
1795,1795,пролить,"{'gen': 0, 'dat': 0, 'acc': 7, 'ins': 0, 'loc': 0}","{'кровь': 4, 'свет': 3}","{'gen': 1, 'acc': 49, 'ins': 0, 'dat': 0}",{},"{'gen': 0, 'acc': 49, 'ins': 0, 'dat': 0}"
1796,1796,учреждеть,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 5, 'acc': 1, 'ins': 13, 'dat': 0}","{'в': 10, 'по': 3, 'на': 2, 'для': 1, 'с': 1}","{'gen': 5, 'acc': 1, 'ins': 13, 'dat': 0}"
1797,1797,сосредотачиваться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}","{'только': 1, 'на': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}","{'на': 9, 'в': 5}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
1798,1798,прорыться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}","{'на': 2, 'в': 3, 'за': 1, 'к': 1}","{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
1799,1799,беседовать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",{'с': 12},"{'gen': 0, 'acc': 2, 'ins': 0, 'dat': 0}","{'с': 23, 'на': 1, 'о': 1}","{'gen': 0, 'acc': 2, 'ins': 0, 'dat': 0}"
1800,1800,укорениться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 5, 'acc': 10, 'ins': 1, 'dat': 1}","{'вследствие': 1, 'в': 44, 'на': 2, 'у': 1}","{'gen': 5, 'acc': 10, 'ins': 1, 'dat': 1}"
1801,1801,устояться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 69, 'acc': 54, 'ins': 14, 'dat': 23}","{'в': 20, 'для': 1, 'с': 3, 'на': 2, 'к': 2, 'за': 1}","{'gen': 68, 'acc': 54, 'ins': 14, 'dat': 23}"
1802,1802,‘находиться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}",{'в': 6},"{'gen': 0, 'acc': 0, 'ins': 0, 'dat': 0}"
1803,1803,транскрибировать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 1, 'acc': 3, 'ins': 2, 'dat': 1}","{'с': 2, 'в': 1}","{'gen': 1, 'acc': 3, 'ins': 2, 'dat': 1}"
1804,1804,возобновиться,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",{'с': 1},"{'gen': 1, 'acc': 1, 'ins': 0, 'dat': 1}","{'с': 2, 'благодаря': 1, 'в': 1}","{'gen': 1, 'acc': 1, 'ins': 0, 'dat': 1}"
1805,1805,изменить,"{'gen': 4, 'dat': 5, 'acc': 96, 'ins': 0, 'loc': 0}",,"{'gen': 48, 'acc': 575, 'ins': 30, 'dat': 13}","{'в': 47, 'для': 1, 'на': 19, 'до': 1, 'под': 2, 'по': 7, 'без': 5, 'с': 4, 'после': 1, 'при': 1}","{'gen': 24, 'acc': 575, 'ins': 30, 'dat': 13}"
1806,1806,разуметься,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 8, 'acc': 10, 'ins': 4, 'dat': 2}",{'в': 2},"{'gen': 8, 'acc': 10, 'ins': 4, 'dat': 2}"
1807,1807,уподобить,"{'gen': 0, 'dat': 1, 'acc': 2, 'ins': 0, 'loc': 0}","{'пище': 1, 'женщину': 1, 'еe': 1}","{'gen': 0, 'acc': 5, 'ins': 0, 'dat': 5}",{},"{'gen': 0, 'acc': 5, 'ins': 0, 'dat': 5}"
1808,1808,печивать,"{'gen': 0, 'dat': 0, 'acc': 0, 'ins': 0, 'loc': 0}",,"{'gen': 0, 'acc': 10, 'ins': 0, 'dat': 0}",{},"{'gen': 0, 'acc': 10, 'ins': 0, 'dat': 0}"
1809,1809,сжечь,"{'gen': 0, 'dat': 0, 'acc': 9, 'ins': 1, 'loc': 0}",,"{'gen': 0, 'acc': 9, 'ins': 2, 'dat': 0}","{'в': 1, 'на': 2, 'за': 1}","{'gen': 0, 'acc': 9, 'ins': 2, 'dat': 0}"
